RK2_Ek	RK2_Ep	RK2_Et	RK4_Ek	RK4_Ep	RK4_Et
50,28	74,79	125,07	50,17	74,21	124,38
61,34	63,57	124,91	61,14	63,03	124,17
72,92	51,84	124,76	72,59	51,36	123,95
84,57	40,05	124,62	84,07	39,66	123,73
95,77	28,74	124,51	95,08	28,44	123,52
105,90	18,53	124,43	104,99	18,33	123,32
114,31	10,06	124,37	113,21	9,95	123,16
120,43	3,91	124,34	119,17	3,88	123,04
123,79	0,55	124,35	122,42	0,55	122,98
124,12	0,25	124,37	122,72	0,24	122,97
121,38	3,03	124,42	120,05	2,97	123,02
115,80	8,67	124,48	114,60	8,51	123,12
107,81	16,75	124,56	106,80	16,47	123,27
97,96	26,70	124,66	97,17	26,28	123,45
86,90	37,87	124,77	86,34	37,33	123,66
75,26	49,63	124,90	74,90	48,98	123,89
63,60	61,43	125,03	63,41	60,70	124,11
52,38	72,79	125,18	52,32	72,01	124,33
41,94	83,38	125,32	41,97	82,56	124,53
32,52	92,94	125,46	32,59	92,12	124,71
24,25	101,34	125,59	24,35	100,53	124,88
17,20	108,50	125,71	17,30	107,71	125,01
11,40	114,41	125,81	11,48	113,64	125,13
6,82	119,07	125,89	6,88	118,33	125,22
3,43	122,52	125,95	3,47	121,81	125,28
1,21	124,79	125,99	1,23	124,10	125,33
0,12	125,89	126,01	0,13	125,22	125,35
0,16	125,85	126,01	0,15	125,19	125,35
1,32	124,67	125,99	1,31	124,02	125,32
3,62	122,32	125,95	3,61	121,67	125,28
7,08	118,79	125,88	7,07	118,14	125,21
11,74	114,05	125,79	11,73	113,40	125,12
17,62	108,06	125,68	17,60	107,41	125,01
24,73	100,82	125,56	24,70	100,17	124,87
33,06	92,35	125,42	33,01	91,71	124,71
42,53	82,73	125,26	42,43	82,10	124,53
53,00	72,10	125,11	52,82	71,51	124,33
64,23	60,72	124,95	63,94	60,17	124,12
75,88	48,92	124,80	75,44	48,45	123,90
87,48	37,19	124,67	86,86	36,81	123,68
98,48	26,09	124,57	97,65	25,81	123,47
108,24	16,25	124,49	107,21	16,07	123,28
116,14	8,30	124,44	114,91	8,21	123,13
121,62	2,80	124,42	120,24	2,79	123,02
124,24	0,19	124,43	122,78	0,19	122,97
123,80	0,66	124,46	122,34	0,64	122,97
120,32	4,18	124,51	118,95	4,09	123,04
114,09	10,48	124,58	112,88	10,28	123,15
105,57	19,09	124,66	104,56	18,75	123,31
95,36	29,40	124,76	94,58	28,92	123,50
84,09	40,78	124,88	83,54	40,17	123,72
72,39	52,61	125,01	72,05	51,89	123,94
60,80	64,35	125,15	60,62	63,55	124,17
49,74	75,55	125,29	49,68	74,70	124,38
39,53	85,90	125,43	39,55	85,03	124,58
30,38	95,19	125,57	30,45	94,31	124,76
22,41	103,29	125,70	22,49	102,42	124,91
15,66	110,15	125,81	15,75	109,29	125,04
10,16	115,75	125,91	10,23	114,92	125,15
5,88	120,11	125,99	5,93	119,31	125,23
2,78	123,26	126,04	2,81	122,48	125,30
0,84	125,24	126,08	0,85	124,48	125,33
0,03	126,07	126,09	0,03	125,32	125,35
0,34	125,75	126,09	0,33	125,01	125,34
1,78	124,28	126,06	1,77	123,55	125,32
4,36	121,65	126,01	4,35	120,91	125,27
8,11	117,83	125,94	8,11	117,08	125,19
13,06	112,78	125,85	13,07	112,03	125,10
19,24	106,49	125,73	19,24	105,73	124,98
26,65	98,95	125,60	26,65	98,19	124,84
35,27	90,19	125,46	35,24	89,43	124,67
45,00	80,30	125,30	44,92	79,57	124,48
55,68	69,46	125,15	55,51	68,76	124,28
67,06	57,94	124,99	66,76	57,30	124,06
78,74	46,10	124,85	78,29	45,55	123,84
90,26	34,46	124,72	89,61	34,01	123,62
101,02	23,60	124,62	100,15	23,27	123,42
110,40	14,15	124,55	109,31	13,93	123,24
117,77	6,74	124,51	116,47	6,63	123,10
122,60	1,90	124,50	121,14	1,87	123,00
124,49	0,02	124,51	122,95	0,02	122,97
123,31	1,24	124,55	121,77	1,22	122,98
119,14	5,46	124,60	117,68	5,38	123,06
112,30	12,37	124,67	111,01	12,18	123,19
103,31	21,45	124,76	102,23	21,13	123,36
92,78	32,08	124,87	91,93	31,63	123,56
81,35	43,63	124,99	80,72	43,05	123,77
